label,text
0,"Thank you for applying for the Software Engineer role. Your application has been received successfully."
0,"Your interview has been scheduled for Thursday at 11:00 AM. Please confirm your availability."
0,"We would like to invite you to the next round of the hiring process for the Backend Developer position."
0,"Please complete the coding assessment within the next 3 days using the link in this email."
0,"We are pleased to offer you the position of Data Analyst. Please review the attached offer letter."
0,"Your application is currently under review by our hiring team. We will update you soon."
0,"Thank you for attending the interview today. We will share feedback with you by Friday."
0,"Your profile has been shortlisted for the Product Engineer opening in our Chennai office."
0,"We would like to schedule a recruiter call to discuss your experience and interest in the role."
0,"Please upload an updated copy of your resume to continue with your application process."
0,"Your interview panel has been confirmed. Please join the meeting using the calendar invite sent earlier."
0,"We regret to inform you that we will not be moving forward with your application at this time."
0,"Your application for the Machine Learning Intern role has been moved to the final review stage."
0,"Please choose a convenient time slot for your technical interview from the available options."
0,"We are following up regarding your application and would like to know if you are still interested."
0,"Your email verification code is 482913. This code will expire in 10 minutes."
0,"Please verify your email address to activate your account and continue using the service."
0,"A sign-in attempt was detected on your account. If this was you, no further action is needed."
0,"Your password was changed successfully. Contact support immediately if you did not perform this action."
0,"Use the following one-time password to complete your login: 761204."
0,"Your account has been verified successfully. You can now access all features."
0,"We received a request to reset your password. Click the secure link below to continue."
0,"Please confirm your phone number using the verification code sent to your device."
0,"Your two-factor authentication has been enabled successfully for your account."
0,"This is a reminder that your account verification is still pending. Please complete it today."
0,"Hi team, please find attached the meeting notes from today’s discussion and share any corrections."
0,"The project review meeting has been moved to 3:30 PM. Please update your calendar accordingly."
0,"Can you send me the latest API status update before the client call this evening?"
0,"The deployment completed successfully in staging. Please validate the new changes when you have time."
0,"Sharing the revised requirements document for tomorrow’s planning session. Let me know your feedback."
